address,time_unix,time,dne,srl,srrn,eda
RP01006,1710921857.700000,2024-03-20 08:04:17.7+00,\N,\N,\N,691471
RP01006,1710921858.033000,2024-03-20 08:04:18.033+00,\N,\N,\N,691471
RP01006,1710921858.366000,2024-03-20 08:04:18.366+00,\N,\N,\N,636675
RP01006,1710921858.699000,2024-03-20 08:04:18.699+00,\N,\N,\N,638482
RP01006,1710921859.032000,2024-03-20 08:04:19.032+00,\N,\N,\N,623489
RP01006,1710921859.365000,2024-03-20 08:04:19.365+00,\N,\N,\N,611626
RP01006,1710921859.698000,2024-03-20 08:04:19.698+00,\N,\N,\N,600249
RP01006,1710921860.031000,2024-03-20 08:04:20.031+00,\N,\N,\N,593219
RP01006,1710921860.364000,2024-03-20 08:04:20.364+00,\N,\N,\N,584249
RP01006,1710921860.697000,2024-03-20 08:04:20.697+00,\N,\N,\N,578732
RP01006,1710921861.030000,2024-03-20 08:04:21.03+00,\N,\N,\N,572040
RP01006,1710921861.363000,2024-03-20 08:04:21.363+00,\N,\N,\N,568113
RP01006,1710921861.696000,2024-03-20 08:04:21.696+00,\N,\N,\N,562857
RP01006,1710921862.029000,2024-03-20 08:04:22.029+00,\N,\N,\N,558528
RP01006,1710921862.362000,2024-03-20 08:04:22.362+00,\N,\N,\N,555112
RP01006,1710921862.695000,2024-03-20 08:04:22.695+00,\N,\N,\N,553484
RP01006,1710921863.028000,2024-03-20 08:04:23.028+00,\N,\N,\N,551859
RP01006,1710921863.361000,2024-03-20 08:04:23.361+00,\N,\N,\N,551564
RP01006,1710921863.694000,2024-03-20 08:04:23.694+00,\N,\N,\N,552007
RP01006,1710921864.027000,2024-03-20 08:04:24.027+00,\N,\N,\N,553188
RP01006,1710921864.360000,2024-03-20 08:04:24.36+00,\N,\N,\N,554668
RP01006,1710921864.693000,2024-03-20 08:04:24.693+00,\N,\N,\N,556299
RP01006,1710921865.026000,2024-03-20 08:04:25.026+00,\N,\N,\N,557933
RP01006,1710921865.359000,2024-03-20 08:04:25.359+00,\N,\N,\N,558975
RP01006,1710921865.692000,2024-03-20 08:04:25.692+00,\N,\N,\N,559869
RP01006,1710921866.025000,2024-03-20 08:04:26.025+00,\N,\N,\N,561212
RP01006,1710921866.358000,2024-03-20 08:04:26.358+00,\N,\N,\N,561511
RP01006,1710921866.691000,2024-03-20 08:04:26.691+00,\N,\N,\N,561362
RP01006,1710921867.024000,2024-03-20 08:04:27.024+00,\N,\N,\N,560317
RP01006,1710921867.357000,2024-03-20 08:04:27.357+00,\N,\N,\N,557190
RP01006,1710921867.690000,2024-03-20 08:04:27.69+00,\N,\N,\N,553632
RP01006,1710921868.023000,2024-03-20 08:04:28.023+00,\N,\N,\N,552007
RP01006,1710921868.356000,2024-03-20 08:04:28.356+00,\N,\N,\N,550532
RP01006,1710921868.689000,2024-03-20 08:04:28.689+00,\N,\N,\N,550679
RP01006,1710921869.022000,2024-03-20 08:04:29.022+00,\N,\N,\N,552007
RP01006,1710921869.355000,2024-03-20 08:04:29.355+00,\N,\N,\N,554520
RP01006,1710921869.688000,2024-03-20 08:04:29.688+00,\N,\N,\N,557190
RP01006,1710921870.021000,2024-03-20 08:04:30.021+00,\N,\N,\N,559273
RP01006,1710921870.354000,2024-03-20 08:04:30.354+00,\N,\N,\N,561660
RP01006,1710921870.687000,2024-03-20 08:04:30.687+00,\N,\N,\N,562857
RP01006,1710921871.020000,2024-03-20 08:04:31.02+00,\N,\N,\N,564655
RP01006,1710921871.353000,2024-03-20 08:04:31.353+00,\N,\N,\N,566307
